customer_id,age,gender,monthly_spending,contract_length,num_support_tickets,churn
1001,25,1,75.5,12,1,0
1002,40,0,45.3,24,2,0
1003,34,1,89.2,6,5,1
1004,28,0,55.6,12,1,0
1005,50,1,120.8,24,0,0
1006,45,0,135.6,12,3,1
1007,23,1,48.9,6,4,1
1008,37,0,78.3,12,1,0
1009,60,1,99.5,24,2,0
1010,31,0,65.7,6,3,1
1011,42,1,102.1,24,1,0
1012,29,0,57.4,12,0,0
1013,56,1,110.2,12,2,1
1014,48,0,130.9,24,4,1
1015,35,1,95.4,6,1,0
1016,22,0,43.2,12,5,1
1017,27,1,58.5,24,2,0
1018,52,0,118.3,12,0,0
1019,39,1,90.1,6,3,1
1020,30,0,67.2,12,1,0
